codigo,nombre,descripcion,unidad,categoria,imagen,ubicacion_bio,cantidad_bio,ubicacion_agr,cantidad_agr,mrp
300000000051,BUJE VOLANTE 0261305008 JD,BUJE VOLANTE 0261305008 JD,UN,G-20 / Aceros ,https://ik.imagekit.io/7ypnvn8as/materiales/300000000051.png, , , ,0,
300000000052,BUJES DE POLIMERO EN TEFLÓN NYLON 6/6,BUJES DE POLIMERO EN TEFLÓN NYLON 6/6,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000052.png, , ,PATC3A1*,1,
300000000053,BUJE SOPORTE MESA CB01432234 JD,BUJE SOPORTE MESA CB01432234 JD,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000053.png, , ,C301A11*,1,
300000000054,CABLE 82016403 CNH,CABLE 82016403 CNH,UN,G-21 / Cables Y Accesorios ,https://ik.imagekit.io/7ypnvn8as/materiales/300000000054.png, , ,C302B01*,2,
300000000055,CADENA 1/2'' X 1.50 MTS G. 300 CON RACHE,CADENA 1/2'' X 1.50 MTS G. 300 CON RACHE,UN,G-19 / Cadenas. Rodillos. Bandas.Correas,https://ik.imagekit.io/7ypnvn8as/materiales/300000000055.png, , ,,0,
300000000056,CADENA 1/2'' X 2 MTS G. 300 CON RACHE,CADENA 1/2'' X 2 MTS G. 300 CON RACHE,UN,G-19 / Cadenas. Rodillos. Bandas.Correas,https://ik.imagekit.io/7ypnvn8as/materiales/300000000056.png, , ,,0,
300000000057,CADENA 48 SECCIONES CR-3519  JD,CADENA 48 SECCIONES CR-3519  JD,UN,G-19 / Cadenas. Rodillos. Bandas.Correas,https://ik.imagekit.io/7ypnvn8as/materiales/300000000057.png, , , ,0,
300000000058,CADENA AGRICOLA 550,CADENA AGRICOLA 550,M,G-19 / Cadenas. Rodillos. Bandas.Correas,https://ik.imagekit.io/7ypnvn8as/materiales/300000000058.png, , ,,0,
300000000060,CADENA ELEVADOR HP 200,CADENA ELEVADOR HP 200,UN,G-19 / Cadenas. Rodillos. Bandas.Correas,https://ik.imagekit.io/7ypnvn8as/materiales/300000000060.png, , ,C1FP01*,4,
300000000061,CADENA PASO 100 X CAJA 3M,CADENA PASO 100 X CAJA 3M,UN,G-19 / Cadenas. Rodillos. Bandas.Correas,https://ik.imagekit.io/7ypnvn8as/materiales/300000000061.png, , ,C103B22*,5,
300000000062,CADENA PASO 50,CADENA PASO 50,UN,G-19 / Cadenas. Rodillos. Bandas.Correas,https://ik.imagekit.io/7ypnvn8as/materiales/300000000062.png, , ,C103B23*,8,
